ticker,factor,exposure
NVDA,Consumer Cyclical,0.000000
NVDA,Consumer Defensive,0.000000
NVDA,Energy,0.000000
NVDA,Financial Services,0.000000
NVDA,Healthcare,0.000000
NVDA,Industrials,0.000000
NVDA,Real Estate,0.000000
NVDA,Technology,1.000000
NVDA,Utilities,0.000000
ORCL,Basic Materials,0.000000
ORCL,Communication Services,0.000000
ORCL,Consumer Cyclical,0.000000
ORCL,Consumer Defensive,0.000000
ORCL,Energy,0.000000
ORCL,Financial Services,0.000000
ORCL,Healthcare,0.000000
ORCL,Industrials,0.000000
ORCL,Real Estate,0.000000
ORCL,Technology,1.000000
ORCL,Utilities,0.000000
PLD,Basic Materials,0.000000
PLD,Communication Services,0.000000
PLD,Consumer Cyclical,0.000000
PLD,Consumer Defensive,0.000000
PLD,Energy,0.000000
PLD,Financial Services,0.000000
PLD,Healthcare,0.000000
PLD,Industrials,0.000000
PLD,Real Estate,1.000000
PLD,Technology,0.000000
PLD,Utilities,0.000000
PLTR,Basic Materials,0.000000
PLTR,Communication Services,0.000000
PLTR,Consumer Cyclical,0.000000
PLTR,Consumer Defensive,0.000000
PLTR,Energy,0.000000
PLTR,Financial Services,0.000000
PLTR,Healthcare,0.000000
PLTR,Industrials,0.000000
PLTR,Real Estate,0.000000
PLTR,Technology,1.000000
PLTR,Utilities,0.000000
RIVN,Basic Materials,0.000000
RIVN,Communication Services,0.000000
RIVN,Consumer Cyclical,1.000000
RIVN,Consumer Defensive,0.000000
RIVN,Energy,0.000000
RIVN,Financial Services,0.000000
RIVN,Healthcare,0.000000
RIVN,Industrials,0.000000
RIVN,Real Estate,0.000000
RIVN,Technology,0.000000
RIVN,Utilities,0.000000
RKLB,Basic Materials,0.000000
RKLB,Communication Services,0.000000
RKLB,Consumer Cyclical,0.000000
RKLB,Consumer Defensive,0.000000
RKLB,Energy,0.000000
RKLB,Financial Services,0.000000
RKLB,Healthcare,0.000000
RKLB,Industrials,1.000000
RKLB,Real Estate,0.000000
RKLB,Technology,0.000000
RKLB,Utilities,0.000000
ROKU,Basic Materials,0.000000
ROKU,Communication Services,1.000000
ROKU,Consumer Cyclical,0.000000
ROKU,Consumer Defensive,0.000000
ROKU,Energy,0.000000
ROKU,Financial Services,0.000000
ROKU,Healthcare,0.000000
ROKU,Industrials,0.000000
ROKU,Real Estate,0.000000
ROKU,Technology,0.000000
ROKU,Utilities,0.000000
RTX,Basic Materials,0.000000
RTX,Communication Services,0.000000
RTX,Consumer Cyclical,0.000000
RTX,Consumer Defensive,0.000000
RTX,Energy,0.000000
RTX,Financial Services,0.000000
RTX,Healthcare,0.000000
RTX,Industrials,1.000000
RTX,Real Estate,0.000000
RTX,Technology,0.000000
RTX,Utilities,0.000000
SBAC,Basic Materials,0.000000
SBAC,Communication Services,0.000000
SBAC,Consumer Cyclical,0.000000
SBAC,Consumer Defensive,0.000000
SBAC,Energy,0.000000
SBAC,Financial Services,0.000000
SBAC,Healthcare,0.000000
SBAC,Industrials,0.000000
SBAC,Real Estate,1.000000
SBAC,Technology,0.000000
SBAC,Utilities,0.000000
SNAP,Basic Materials,0.000000
SNAP,Communication Services,1.000000
SNAP,Consumer Cyclical,0.000000
SNAP,Consumer Defensive,0.000000
SNAP,Energy,0.000000
SNAP,Financial Services,0.000000
SNAP,Healthcare,0.000000
SNAP,Industrials,0.000000
SNAP,Real Estate,0.000000
SNAP,Technology,0.000000
SNAP,Utilities,0.000000
SO,Basic Materials,0.000000
SO,Communication Services,0.000000
SO,Consumer Cyclical,0.000000
SO,Consumer Defensive,0.000000
SO,Energy,0.000000
SO,Financial Services,0.000000
SO,Healthcare,0.000000
SO,Industrials,0.000000
SO,Real Estate,0.000000
SO,Technology,0.000000
SO,Utilities,1.000000
SOFI,Basic Materials,0.000000
SOFI,Communication Services,0.000000
SOFI,Consumer Cyclical,0.000000
SOFI,Consumer Defensive,0.000000
SOFI,Energy,0.000000
SOFI,Financial Services,1.000000
SOFI,Healthcare,0.000000
SOFI,Industrials,0.000000
SOFI,Real Estate,0.000000
SOFI,Technology,0.000000
SOFI,Utilities,0.000000
TSLA,Basic Materials,0.000000
TSLA,Communication Services,0.000000
TSLA,Consumer Cyclical,1.000000
TSLA,Consumer Defensive,0.000000
TSLA,Energy,0.000000
TSLA,Financial Services,0.000000
TSLA,Healthcare,0.000000
TSLA,Industrials,0.000000
TSLA,Real Estate,0.000000
TSLA,Technology,0.000000
TSLA,Utilities,0.000000
UBER,Basic Materials,0.000000
UBER,Communication Services,0.000000
UBER,Consumer Cyclical,0.000000
UBER,Consumer Defensive,0.000000
UBER,Energy,0.000000
UBER,Financial Services,0.000000
UBER,Healthcare,0.000000
UBER,Industrials,0.000000
UBER,Real Estate,0.000000
UBER,Technology,1.000000
UBER,Utilities,0.000000
UNH,Basic Materials,0.000000
UNH,Communication Services,0.000000
UNH,Consumer Cyclical,0.000000
UNH,Consumer Defensive,0.000000
UNH,Energy,0.000000
UNH,Financial Services,0.000000
UNH,Healthcare,1.000000
UNH,Industrials,0.000000
UNH,Real Estate,0.000000
UNH,Technology,0.000000
UNH,Utilities,0.000000
UPST,Basic Materials,0.000000
UPST,Communication Services,0.000000
UPST,Consumer Cyclical,0.000000
UPST,Consumer Defensive,0.000000
UPST,Energy,0.000000
UPST,Financial Services,1.000000
UPST,Healthcare,0.000000
UPST,Industrials,0.000000
UPST,Real Estate,0.000000
UPST,Technology,0.000000
UPST,Utilities,0.000000
VRTX,Basic Materials,0.000000
VRTX,Communication Services,0.000000
VRTX,Consumer Cyclical,0.000000
VRTX,Consumer Defensive,0.000000
VRTX,Energy,0.000000
VRTX,Financial Services,0.000000
VRTX,Healthcare,1.000000
VRTX,Industrials,0.000000
VRTX,Real Estate,0.000000
VRTX,Technology,0.000000
VRTX,Utilities,0.000000
WMT,Basic Materials,0.000000
WMT,Communication Services,0.000000
WMT,Consumer Cyclical,0.000000
WMT,Consumer Defensive,1.000000
WMT,Energy,0.000000
WMT,Financial Services,0.000000
WMT,Healthcare,0.000000
WMT,Industrials,0.000000
WMT,Real Estate,0.000000
WMT,Technology,0.000000
WMT,Utilities,0.000000
XOM,Basic Materials,0.000000
XOM,Communication Services,0.000000
XOM,Consumer Cyclical,0.000000
XOM,Consumer Defensive,0.000000
XOM,Energy,1.000000
XOM,Financial Services,0.000000
XOM,Healthcare,0.000000
XOM,Industrials,0.000000
XOM,Real Estate,0.000000
XOM,Technology,0.000000
XOM,Utilities,0.000000
